	subject_number	AGE_GROUP	TRIAL	image_id	FIRST_LAST	CURRENT_FIX_INDEX	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_DURATION
2545	201	1	126	150	0	8	451.7	287.2	312
2546	201	1	126	150	0	9	158.6	236.9	210
2547	201	1	126	150	0	10	65.2	239.7	247
2548	201	1	126	150	0	11	104.2	245.1	211
2549	201	1	126	150	0	12	22.7	250.1	209
2550	201	1	126	150	0	13	398.2	287.1	325
2551	201	1	126	150	0	14	459.8	276.0	250
2552	201	1	126	150	0	15	284.7	115.2	67
2553	201	1	126	150	0	16	276.3	77.5	133
2554	201	1	126	150	0	17	237.5	45.5	134
2555	201	1	126	150	0	18	553.0	213.0	362
2556	201	1	126	150	0	19	702.6	326.2	232
2557	201	1	126	150	0	20	717.1	181.2	265
2558	201	1	126	150	0	21	714.0	120.3	23
2559	201	1	126	150	2	22	717.5	116.7	316
2603	201	1	129	85	1	1	404.5	308.5	654
2604	201	1	129	85	0	2	435.1	135.7	107
2605	201	1	129	85	0	3	137.1	116.1	186
2606	201	1	129	85	0	4	98.6	64.8	950
2607	201	1	129	85	0	5	394.6	106.0	137
2608	201	1	129	85	0	6	433.5	111.7	93
2609	201	1	129	85	0	7	613.5	227.0	157
2610	201	1	129	85	0	8	683.9	473.8	194
2611	201	1	129	85	0	9	704.7	435.0	483
2612	201	1	129	85	0	10	585.5	566.8	294
2613	201	1	129	85	0	11	610.6	203.8	49
2614	201	1	129	85	0	12	568.3	142.2	109
2615	201	1	129	85	0	13	404.3	115.3	112
2616	201	1	129	85	0	14	119.1	79.2	142
2617	201	1	129	85	0	15	186.8	333.5	256
2618	201	1	129	85	0	16	228.5	352.9	115
2619	201	1	129	85	0	17	126.8	347.5	359
2620	201	1	129	85	0	18	440.8	122.1	233
2621	201	1	129	85	0	19	609.1	217.7	137
2622	201	1	129	85	2	20	625.2	248.3	364
2777	201	1	138	58	1	1	395.9	302.8	689
2778	201	1	138	58	0	2	297.2	225.6	170
2779	201	1	138	58	0	3	270.5	248.0	615
2780	201	1	138	58	0	4	319.3	234.0	121
2781	201	1	138	58	0	5	324.4	171.0	364
2782	201	1	138	58	0	6	144.2	148.6	253
2783	201	1	138	58	0	7	124.6	194.5	116
2784	201	1	138	58	0	8	34.3	316.8	166
2785	201	1	138	58	0	9	69.8	466.0	131
2786	201	1	138	58	0	10	348.8	114.0	218
2787	201	1	138	58	0	11	450.3	128.2	225
2788	201	1	138	58	0	12	460.7	121.2	149
2789	201	1	138	58	0	13	505.4	296.3	334
2790	201	1	138	58	0	14	471.5	312.7	297
2791	201	1	138	58	0	15	581.9	410.7	298
2792	201	1	138	58	0	16	470.7	325.3	246
2793	201	1	138	58	0	17	694.7	405.6	189
2794	201	1	138	58	0	18	731.7	445.5	430
2795	201	1	138	58	2	19	504.7	319.3	291
3031	203	1	1	112	1	1	392.3	309.1	902
