subject_number	image_id	region	dvFix	fCentr	fLumin
201.0000000000	107	41.0000000000	0.0000000000	0.9716965472	0.6179508491
201.0000000000	107	42.0000000000	1.0000000000	0.9360001353	0.5561289175
201.0000000000	107	43.0000000000	0.0000000000	0.8897932245	0.6113110839
201.0000000000	107	44.0000000000	0.0000000000	0.8554802706	0.7630995860
201.0000000000	107	45.0000000000	0.0000000000	0.8556769867	0.5979374086
201.0000000000	107	46.0000000000	0.0000000000	0.8902426432	0.5729761497
201.0000000000	107	47.0000000000	0.0000000000	0.9364345251	0.3140334673
201.0000000000	107	48.0000000000	0.0000000000	0.9719651294	0.4098066022
201.0000000000	111	1.0000000000	0.0000000000	0.9712645695	0.9359996467
201.0000000000	111	2.0000000000	0.0000000000	0.9350233460	0.8939213180
201.0000000000	111	3.0000000000	0.0000000000	0.8881112085	0.7900472065
201.0000000000	111	4.0000000000	0.0000000000	0.8532745578	0.7411151182
201.0000000000	111	5.0000000000	0.0000000000	0.8534742762	0.6825849248
201.0000000000	111	6.0000000000	0.0000000000	0.8885674864	0.7118229518
201.0000000000	111	7.0000000000	0.0000000000	0.9354643657	0.7119177526
201.0000000000	111	8.0000000000	1.0000000000	0.9715372510	0.7004852027
201.0000000000	111	9.0000000000	0.0000000000	0.9037579109	0.9632609799
201.0000000000	111	10.0000000000	0.0000000000	0.7823770577	0.8677697628
201.0000000000	111	11.0000000000	0.0000000000	0.6252566648	0.8008101445
201.0000000000	111	12.0000000000	0.0000000000	0.5085800746	0.7212665175
201.0000000000	111	13.0000000000	0.0000000000	0.5092489814	0.6445190809
201.0000000000	111	14.0000000000	1.0000000000	0.6267848527	0.3986588402
201.0000000000	111	15.0000000000	0.0000000000	0.7838541419	0.3699661629
201.0000000000	111	16.0000000000	1.0000000000	0.9046711887	0.6401726001
201.0000000000	111	17.0000000000	0.0000000000	0.8241344072	0.9600609300
201.0000000000	111	18.0000000000	0.0000000000	0.6023321180	0.8753554716
201.0000000000	111	19.0000000000	0.0000000000	0.3152220679	0.7630146877
201.0000000000	111	20.0000000000	1.0000000000	0.1020159967	0.6397926479
201.0000000000	111	21.0000000000	1.0000000000	0.1032383070	0.5888616194
201.0000000000	111	22.0000000000	1.0000000000	0.3180145640	0.3799973348
201.0000000000	111	23.0000000000	0.0000000000	0.6050312311	0.5269269861
201.0000000000	111	24.0000000000	1.0000000000	0.8258032627	0.5357521192
201.0000000000	111	25.0000000000	1.0000000000	0.8246663706	0.8488109694
201.0000000000	111	26.0000000000	1.0000000000	0.6035349955	0.7535753271
201.0000000000	111	27.0000000000	1.0000000000	0.3172934042	0.6471138853
201.0000000000	111	28.0000000000	1.0000000000	0.1047322450	0.5714990636
201.0000000000	111	29.0000000000	0.0000000000	0.1059508580	0.4562428375
201.0000000000	111	30.0000000000	0.0000000000	0.3200774535	0.2865149575
201.0000000000	111	31.0000000000	0.0000000000	0.6062259442	0.4869767935
201.0000000000	111	32.0000000000	1.0000000000	0.8263301781	0.5228094606
201.0000000000	111	33.0000000000	0.0000000000	0.9046286195	0.8863921407
201.0000000000	111	34.0000000000	1.0000000000	0.7843459070	0.8351226829
201.0000000000	111	35.0000000000	1.0000000000	0.6286469927	0.6578350535
201.0000000000	111	36.0000000000	1.0000000000	0.5130259834	0.4958075319
201.0000000000	111	37.0000000000	0.0000000000	0.5136888386	0.5454794679
201.0000000000	111	38.0000000000	1.0000000000	0.6301613550	0.2634846049
201.0000000000	111	39.0000000000	0.0000000000	0.7858096279	0.4438683831
201.0000000000	111	40.0000000000	1.0000000000	0.9055336348	0.4085825400
201.0000000000	111	41.0000000000	0.0000000000	0.9716965472	0.6247786502
201.0000000000	111	42.0000000000	1.0000000000	0.9360001353	0.3914554143
201.0000000000	111	43.0000000000	0.0000000000	0.8897932245	0.3785784729
201.0000000000	111	44.0000000000	0.0000000000	0.8554802706	0.7307230959
